,Uniq Id,Crawl Timestamp,Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal
415,2355c2ff475daad1ad7673767d76520d,2019-08-06 03:03:20 +0000, Sr. Business Analyst, Not Disclosed by Recruiter ,2 - 5 yrs, Java| Tomcat| Eclipse| OOPS| HTML| UNIX| SQL| DB2| Weblogic| XML| Flex| Oracle| PL,System Design/Implementation/ERP/CRM,Hyderabad,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Business Analyst,78.4740613,17.360589,1817
416,3aa2b6daae39a900175354d52eb41eaf,2019-08-04 04:59:04 +0000, CNC Machine Operator," 1,75,000 - 2,00,000 PA. ",2 - 3 yrs, cnc| cnc operator| cnc maintenance| cnc programming,Production/Manufacturing/Maintenance,"Ahmedabad,Gandhinagar","Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Factory Head,72.5822818,23.1154284,6034
417,570edf27c8b5a5f04abc386794beb3c1,2019-07-05 05:35:42 +0000, Executive, Not Disclosed by Recruiter ,5 - 10 yrs, Medical Representative| Senior Executive,Architectural Services,Ahmedabad,"Architecture , Interior Design","Pharma, Biotech, Clinical Research",Architect,72.5797068,23.0216238,4555
418,6d7c290deffddbf19c22fb00450222e4,2019-07-05 01:44:12 +0000, Presales Manager - Networking," 8,50,000 - 18,00,000 PA. ",3 - 8 yrs, Sales Engineer| solution architect| Presales| solution consultant| Technology Consultant,,Mumbai,Other,IT-Hardware & Networking,Other,72.8773928,19.0759899,6026
419,28209b750d61bd4f918e1a8d9d1f78e3,2019-07-04 18:43:42 +0000, Inside Sales Executive, Not Disclosed by Recruiter ,3 - 5 yrs, Inside Sales| Lead Generation| Cold Calling| New Business| Customer Service| Proposal Writing| Follow Ups| Sales Executive Activities| Communication Skills| Convincing Power,Corporate Sales,"Delhi NCR,Bengaluru","Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,121.0977529,14.6719732,5338
420,d588716cf8c6a4b38990b85443eab2ca,2019-07-05 20:20:34 +0000, Customer Care Executive," 1,50,000 - 2,75,000 PA. ",0 - 1 yrs, Customer Care| Inbound Process| Night Shift| Customer Care Executive| Customer Care Officer| BPO| Domestic BPO| International BPO,Other,Delhi NCR,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher,77.1212148,28.6882438,4752
421,95d33aff3e947d4a5a88ac97197eeb16,2019-07-06 16:27:32 +0000, HR - Talent scout specialist, Not Disclosed by Recruiter ,2 - 4 yrs, Performance management| Analytical| Design development| Conceptualization| HR| Continuous improvement| Sales support| Recruitment| Testing,Senior Management,Thane,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Head/VP/GM-HR,72.9701779,19.1943294,3948
422,5ec9981117ac987efc6f62f3a0a8b0ce,2019-08-06 08:01:21 +0000, Sr. Sales Manager, Not Disclosed by Recruiter ,8 - 10 yrs, Service delivery| Bfsi| enterprise mobility| Market intelligence| Tools| Application development| Sales process| microsoft| Middleware| Business Executive,Retail Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,72.8773928,19.0759899,3816
423,f6531c43c7b80ef0477c1414bbcf17b5,2019-08-04 22:03:07 +0000, Laundry Executive, Not Disclosed by Recruiter ,1 - 3 yrs, laundry,Housekeeping,Mumbai,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Housekeeping Executive/Assistant.,72.8773928,19.0759899,1950
424,cae2c557c96c83d774a98f811287df64,2019-08-05 05:49:05 +0000, Accounts executive, Not Disclosed by Recruiter ,2 - 7 yrs, TDS| Financial statements| Invoice processing| business opportunity| Interpersonal skills| Tally ERP| Accounting| Analytical| Accounts receivable| Recruitment,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,73.8544541,18.521428,3634
